Serie,dateprel,geno,bac,trait,ST,idepi,niveau,idepillet,dateflo,grain,pfmg,psmg,volmm3,qteaumg,teneaupct,temp,daa,msumtpgr
2,16/02/2016,49,3,20,0,293,2,10,16/02/2016,2,1.19,,11.35179545,,,19,0,0
3,03/05/2016,49,5,30,600,590,2,13,02/04/2016,1,62.502,33.18,59.14313476,29.322,46.91369876,19,31,
3,03/05/2016,19,5,30,600,590,2,13,02/04/2016,2,47.443,,43.15679813,,,19,31,
3,03/05/2016,49,5,30,600,590,2,14,02/04/2016,1,65.211,34.109,60.95523345,31.102,47.69440739,19,31,
3,03/05/2016,19,5,30,600,590,2,14,02/04/2016,2,67.486,,64.83687105,,,19,31,
3,04/05/2016,49,5,30,700,591,2,13,29/03/2016,1,56.854,36.668,49.87929359,20.186,35.50497766,19,36,699
3,04/05/2016,49,5,30,700,591,2,13,29/03/2016,2,38.453,,35.65396829,,,19,36,699
3,04/05/2016,49,5,30,700,591,2,14,29/03/2016,1,51.954,37.313,44.57021507,14.641,28.18069831,19,36,699
3,04/05/2016,49,5,30,700,591,2,14,29/03/2016,2,49.78,,44.79660219,,,19,36,699
3,08/04/2016,49,5,30,190,592,2,13,29/03/2016,1,33.697,8.714,40.90695089,24.983,74.14013117,19,10,187.8
3,08/04/2016,46,5,30,190,592,2,13,29/03/2016,2,29.434,,35.93544962,,,19,10,187.8
3,08/04/2016,49,5,30,190,592,2,14,29/03/2016,1,37.065,9.619,43.88003486,27.446,74.04829354,19,10,187.8
3,08/04/2016,46,5,30,190,592,2,14,29/03/2016,2,28.639,,35.53977301,,,19,10,187.8
3,03/05/2016,49,5,30,600,593,2,12,02/04/2016,1,39.608,19.359,38.91454387,20.249,51.1235104,19,31,
3,03/05/2016,19,5,30,600,593,2,12,02/04/2016,2,52.136,,51.36383215,,,19,31,
3,03/05/2016,49,5,30,600,593,2,13,02/04/2016,1,35.252,15.78,33.8498833,19.472,55.23658232,19,31,
3,03/05/2016,19,5,30,600,593,2,13,02/04/2016,2,61.112,,58.45195284,,,19,31,
3,20/04/2016,49,5,30,400,596,2,12,30/03/2016,1,41.778,20.556,37.08140921,21.222,50.79707023,19,21,404.7
3,20/04/2016,49,5,30,400,596,2,12,30/03/2016,2,54.209,,51.23661461,,,19,21,404.7
3,20/04/2016,49,5,30,400,596,2,13,30/03/2016,1,39.094,19.139,34.69332559,19.955,51.04363841,19,21,404.7
3,20/04/2016,49,5,30,400,596,2,13,30/03/2016,2,30.639,,33.53634715,,,19,21,404.7
3,25/03/2016,49,5,30,0,517,2,13,25/03/2016,2,2.08,,12.3436999,,,19,0,0
5,28/06/2016,49,10,50,0,1279,2,13,28/06/2016,1,2.074,0.473,11.84800377,1.601,77.19382835,19,0,0
3,25/03/2016,49,5,30,0,517,2,12,25/03/2016,2,2.07,,8.626563001,,,19,0,0
2,18/02/2016,49,4,21,0,398,2,13,18/02/2016,1,2.023,0.394,10.58109367,1.629,80.5239743,32,0,0
3,30/03/2016,49,5,30,38,601,2,13,28/03/2016,1,10.768,2.26,20.04227229,8.508,79.01188707,19,2,37.9
3,30/03/2016,49,5,30,38,601,2,13,28/03/2016,2,5.663,,15.12887037,,,19,2,37.9
3,30/03/2016,49,5,30,38,601,2,14,28/03/2016,1,10.775,2.287,20.75048333,8.488,78.774942,19,2,37.9
3,30/03/2016,49,5,30,38,601,2,14,28/03/2016,2,7.165,,17.93567,,,19,2,37.9
3,31/03/2016,49,5,30,76,602,2,12,27/03/2016,1,2.045,0.518,12.40621463,1.527,74.66992665,19,4,75.4
3,31/03/2016,49,5,30,76,602,2,12,27/03/2016,2,2.016,,12.27699366,,,19,4,75.4
3,31/03/2016,49,5,30,76,602,2,13,27/03/2016,1,1.99,0.542,12.45129171,1.448,72.7638191,19,4,75.4
3,31/03/2016,49,5,30,76,602,2,13,27/03/2016,2,1.897,,12.4583037,,,19,4,75.4
3,11/04/2016,49,5,30,300,603,2,12,26/03/2016,1,39.457,14.474,41.8685953,24.983,63.31702866,19,16,303.2
3,11/04/2016,49,5,30,300,603,2,12,26/03/2016,2,33.902,,37.70647808,,,19,16,303.2
3,11/04/2016,49,5,30,300,603,2,13,26/03/2016,1,41.814,16.279,43.32809104,25.535,61.06806333,19,16,303.2
3,11/04/2016,49,5,30,300,603,2,13,26/03/2016,2,37.459,,39.3663164,,,19,16,303.2
3,27/04/2016,49,5,30,500,604,2,12,01/04/2016,1,39.274,20.841,37.67843012,18.433,46.93435861,19,26,503.6
3,27/04/2016,49,5,30,500,604,2,12,01/04/2016,2,53.342,,48.9657314,,,19,26,503.6
3,27/04/2016,49,5,30,500,604,2,13,01/04/2016,1,41.398,21.809,37.80264252,19.589,47.31871105,19,26,503.6
3,27/04/2016,49,5,30,500,604,2,13,01/04/2016,2,60.285,,54.81874005,,,19,26,503.6
3,13/04/2016,49,5,30,230,608,2,13,01/04/2016,1,36.204,11.978,42.31636098,24.226,66.91525798,19,12,229.7
3,13/04/2016,49,5,30,230,608,2,13,01/04/2016,2,25.745,,30.43704735,,,19,12,229.7
3,13/04/2016,49,5,30,230,608,2,14,01/04/2016,1,33.018,11.076,39.52558876,21.942,66.45466109,19,12,229.7
3,13/04/2016,49,5,30,230,608,2,14,01/04/2016,2,31.979,,35.68001282,,,19,12,229.7
3,10/05/2016,49,5,30,800,609,2,12,30/03/2016,1,49.194,33.215,47.82582559,15.979,32.48160345,19,41,800.2
3,10/05/2016,49,5,30,800,609,2,12,30/03/2016,2,35.847,,36.05622796,,,19,41,800.2
3,10/05/2016,49,5,30,800,609,2,13,30/03/2016,1,55.642,34.761,53.88546008,20.881,37.52740735,19,41,800.2
3,10/05/2016,49,5,30,800,609,2,13,30/03/2016,2,57.402,,52.94365181,,,19,41,800.2
3,06/05/2016,49,5,30,700,610,2,12,31/03/2016,1,56.915,32.749,53.73614157,24.166,42.45980849,19,36,701.3
3,06/05/2016,49,5,30,700,610,2,12,31/03/2016,2,73.794,,68.43734038,,,19,36,701.3
3,06/05/2016,49,5,30,700,610,2,13,31/03/2016,1,72.151,41.485,67.09230939,30.666,42.50252942,19,36,701.3
3,06/05/2016,49,5,30,700,610,2,13,31/03/2016,2,62.331,,59.36063456,,,19,36,701.3
3,27/04/2016,49,5,30,500,611,2,13,01/04/2016,1,59.363,32.241,53.99533202,27.122,45.68839176,19,26,503.6
3,27/04/2016,49,5,30,500,611,2,13,01/04/2016,2,49.633,,46.65277625,,,19,26,503.6
3,27/04/2016,49,5,30,500,611,2,14,01/04/2016,1,60.324,31.631,55.65917719,28.693,47.56481666,19,26,503.6
3,27/04/2016,49,5,30,500,611,2,14,01/04/2016,2,58.672,,54.20469002,,,19,26,503.6
3,03/05/2016,49,5,30,600,612,2,12,02/04/2016,1,55.08,29.553,55.31458795,25.527,46.3453159,19,31,
3,03/05/2016,19,5,30,600,612,2,12,02/04/2016,2,52.361,,50.28699075,,,19,31,
3,03/05/2016,49,5,30,600,612,2,13,02/04/2016,1,49.368,27.046,47.08852137,22.322,45.21552423,19,31,
3,03/05/2016,19,5,30,600,612,2,13,02/04/2016,2,43.123,,40.63248154,,,19,31,
3,08/04/2016,49,5,30,190,613,2,12,29/03/2016,1,22.599,5.812,30.29079726,16.787,74.28204788,19,10,187.8
